City,Country,TripType,Cost,Rating,Popularity,Restaurants,Accommodations,Activities
Washington,United States,Cultural,2500,4.8,9.1,"The Inn at Little Washington, Ben's Chili Bowl",Washington Heritage Hotel,"National Mall, Smithsonian Museums, Historical Sites"
Azores,Portugal,Relaxed,2400,4.7,8.9,"Local Dining Spot, Azores Café",Azores Beach Resort,"Beaches, Hot Springs, Whale Watching"
Azores,Portugal,Adventurous,2500,4.8,9.1,"Adventure Cuisine Spot, Azores Adventure Café",Azores Adventure Lodge,"Hiking, Canyoning, Volcanic Exploration"
Chicago,United States,Adventurous,2600,4.9,9.3,"Alinea, Girl & The Goat",Chicago Adventure Hotel,"Skydeck Chicago, Navy Pier, Millennium Park"
Cebu,Philippines,Adventurous,2400,4.7,9,"Abaca, Casa Verde",Cebu Adventure Lodge,"Kawasan Falls, Whale Shark Diving, Island Hopping"
Manila,Philippines,Cultural,2300,4.6,8.9,"Ristorante Delle Mitre, Cafe Adriatico",Manila Grand Hotel,"Intramuros, Rizal Park, Cultural Shows"
Pampanga,Philippines,Cultural,2200,4.6,8.7,"Everybody's Café, Bale Dutung",Pampanga Heritage Inn,"Local Cuisine Tours, Churches, Cultural Events"
Colombo,Sri Lanka,Cultural,2400,4.7,8.9,"Ministry of Crab, Upali's",Colombo Grand Hotel,"Gangaramaya Temple, Galle Face Green, Local Markets"
Ho Chi Minh City,Vietnam,Relaxed,2300,4.6,8.7,"The Deck Saigon, Propaganda Bistro",Ho Chi Minh City Resort,"War Remnants Museum, Cu Chi Tunnels, Ben Thanh Market"
Hội An,Vietnam,Relaxed,2200,4.6,8.8,"Morning Glory, Mango Mango",Hội An Boutique Hotel,"Ancient Town, Tailor Shops, Beaches"
Santiago,Chile,Cultural,2500,4.8,9.1,"Bocanáriz, Peumayén",Santiago Grand Hotel,"Plaza de Armas, Cerro San Cristóbal, Local Markets"
Vina del Mar,Chile,Relaxed,2400,4.7,8.9,"Café Journal, Castillo del Mar",Vina del Mar Resort,"Beaches, Flower Clock, Scenic Walks"
Cebu,Philippines,Adventurous,1800,4.5,9.2,"Lantaw Native Restaurant, Rico's Lechon",Shangri-La's Mactan Resort & Spa,"Beaches, Diving, Historical Sites"
Manila,Philippines,Cultural,1500,4.4,8.9,"Barbara's Heritage Restaurant, The Aristocrat",The Manila Hotel,"Museums, Historical Sites, Shopping"
Pampanga,Philippines,Cultural,1600,4.3,8.6,"Apag Marangle, Razon's",Midori Clark Hotel,"Food Tours, Cultural Festivals, Museums"
Manhattan,United States,Cultural,4000,4.8,10,"Katz's Delicatessen, Le Bernardin",The Plaza Hotel,"Broadway Shows, Museums, Central Park"
Colombo,Sri Lanka,Cultural,1300,4.2,7.8,"Ministry of Crab, The Gallery Café",Cinnamon Grand Colombo,"Temples, Cultural Sites, Beaches"
Ho Chi Minh City,Vietnam,Relaxed,1000,4.5,8.5,"Pho 2000, Bún Chả 145",InterContinental Saigon,"Historical Sites, Markets, Nightlife"
Hội An,Vietnam,Relaxed,900,4.7,8.4,"Morning Glory, Cargo Club",Anantara Hoi An Resort,"Ancient Town, Lantern Festival, Beaches"
Santiago,Chile,Cultural,1800,4.6,9,"La Vega Central, Liguria",Hotel Cumbres,"Museums, Historical Sites, Parks"
Vina del Mar,Chile,Relaxed,1500,4.4,8.3,"Castillo del Mar, Café Vinilo",Hotel Oceanic,"Beaches, Parks, Botanical Gardens"
Valparaiso,Chile,Cultural,1700,4.5,8.9,"Café Turri, La Concepción",Casa Higueras,"Street Art, Historic Sites, Nightlife"
Cliffs Preserve,"Patagonia, Chile",Adventurous,2500,4.8,8.2,Restaurante de Patagonia,Hotel Salto Chico,"Hiking, Glaciers, Nature Reserves"
Puerto Montt,Chile,Relaxed,1400,4.3,8.1,"La Casa de los Mariscos, El Fogón de Pepe",Hotel Vicente Pérez Rosales,"Lakes, Volcanoes, Beaches"
Puerto Varas,Chile,Relaxed,1600,4.6,8.7,"La Olla, El Barranco",Cabañas del Lago,"Lakeside, Hiking, Volcano Views"
Melbourne,Australia,Relaxed,2200,4.6,9.3,"Chin Chin, Attica",The Langham,"Cultural Festivals, Parks, Cafes"
Baltimore,United States,Cultural,1700,4.3,8.5,"The Prime Rib, Woodberry Kitchen",Four Seasons Hotel Baltimore,"Museums, Harbor, Aquarium"
Detroit,United States,Cultural,1600,4.2,8.1,"Slows Bar BQ, Duly's Place",MotorCity Casino Hotel,"Museums, Arts District, Music Scene"
Buffalo,United States,Cultural,1400,4,7.9,"Anchor Bar, The Left Bank",The Mansion on Delaware Avenue,"Niagara Falls, Museums, Historical Sites"
San Francisco,United States,Adventurous,3000,4.7,9.5,"The Slanted Door, Zuni Café",Fairmont Hotel,"Golden Gate Bridge, Alcatraz, Hiking Trails"
Bangkok,Thailand,Adventurous,1200,4.5,9,"Jay Fai, Bo.lan",Mandarin Oriental,"Temples, Markets, Street Food"
Phuket,Thailand,Relaxed,1400,4.6,8.6,"Blue Elephant, Ka Jok See",The Nai Harn,"Beaches, Nightlife, Water Sports"
Livingston,United States,Relaxed,1800,4.4,7.7,"Local Diner, Livingston's Cafe",The Livingston Inn,"Scenic Views, Hiking, Trout Fishing"
Staten Island,United States,Relaxed,1600,4.3,7.5,"Denino's Pizzeria, The Royal Whale",Hilton Garden Inn,"Parks, Beaches, Staten Island Ferry"
Queens,United States,Cultural,1900,4.6,8.8,"Lena, Jackson Diner",The Parc Hotel,"Museums, Parks, Cultural Festivals"
Brooklyn,United States,Cultural,2200,4.7,9,"Peter Luger Steakhouse, Di Fara Pizza",The William Vale,"Brooklyn Bridge, Art Galleries, Coney Island"
The Bronx,United States,Cultural,1800,4.2,8,"Roberto's, Bronx Alehouse",The Opera House Hotel,"Yankee Stadium, Botanical Gardens, Zoo"
Sardinia,Italy,Relaxed,2500,4.8,8.4,"Ristorante Dal Corsaro, Trattoria Lillicu",Forte Village Resort,"Beaches, Archaeological Sites, Hiking"
Panama City,Panama,Cultural,1600,4.5,8.7,"Restaurante Las Bóvedas, El Trapiche",The Bristol Panama,"Casco Viejo, Panama Canal, Museums"
Istanbul,Turkey,Cultural,1800,4.7,9.1,"Ciya Sofrasi, Mikla",Four Seasons Hotel Istanbul,"Hagia Sophia, Blue Mosque, Grand Bazaar"
Brittany,France,Relaxed,2000,4.6,8.3,"La Crêperie Saint-Germain, Le Coq d'Or",Le Grand Hôtel,"Beaches, Lighthouses, Breton Villages"
Prague,Czech Republic,Cultural,1500,4.6,9.2,"V Kolkovně, Lokál",Alchymist Grand Hotel & Spa,"Prague Castle, Old Town, Charles Bridge"
Hudson Valley,United States,Relaxed,2000,4.5,8.2,"The Culinary Institute of America, The Amsterdam",The Emerson Resort & Spa,"Hiking, Vineyards, Scenic Views"
Guayaquil,Ecuador,Cultural,1400,4.3,8,"La Panka, El Fortín",Hotel Continental,"Museums, Historical Sites, Shopping"
Quito,Ecuador,Cultural,1300,4.4,8.2,"La Ronda, Los Gatos",Hotel Plaza Grande,"Historical Sites, Mountains, Markets"
Harbin,China,Cultural,1200,4.5,7.8,"Dongfang Jiaozi Wang, Laofangzi",Sofitel Harbin,"Ice Festival, Russian Architecture, Siberian Tiger Park"
Provence,France,Relaxed,2400,4.7,8.5,"Le Bistrot du Paradou, L'Oustau de Baumanière",Château de Fonscolombe,"Lavender Fields, Vineyards, Villages"
Dalat,Vietnam,Relaxed,1000,4.6,8.4,"The Chicken Village, Ganesh Indian Restaurant",Ana Mandara Villas Dalat,"Waterfalls, Lakes, Coffee Plantations"
Hanoi,Vietnam,Relaxed,1100,4.5,8.3,"Bún Chả, Quan An Ngon",Sofitel Legend Metropole,"Lakes, Temples, Night Markets"
Rockland,United States,Relaxed,1600,4.4,7.6,"Seafood Shack, The Lobster Shack",Samoset Resort,"Beaches, Hiking, Scenic Views"
Portland,United States,Relaxed,1800,4.6,8.8,"Pok Pok, Salt & Straw",The Nines Hotel,"Parks, Craft Breweries, Art Galleries"
Petit Saint Vincent,Saint Vincent and the Grenadines,Relaxed,3500,4.9,9,"The Beach Bar, The Sea Grape",Petit Saint Vincent Resort,"Beaches, Snorkeling, Private Island"
Happy Island,Saint Vincent and the Grenadines,Relaxed,3000,4.8,8.9,"Happy Island Restaurant, The Palm Restaurant",Happy Island Resort,"Beaches, Snorkeling, Secluded Relaxation"
Union Island,Saint Vincent and the Grenadines,Relaxed,2800,4.7,8.5,"The Island Café, The Sunset Grill",The Palm Island Resort,"Beaches, Hiking, Water Sports"
Bequai,Saint Vincent and the Grenadines,Relaxed,2700,4.6,8.3,"The Old Hegg Turtle Sanctuary, The Fig Tree",Bequia Beach Hotel,"Beaches, Wildlife, Historical Sites"
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Relaxed,3200,4.8,9,"Local Creole Restaurant, The Beach Café",The Grenadines Resort,"Beaches, Snorkeling, Hiking"
Denver,United States,Cultural,2200,4.7,9.2,"The Denver ChopHouse, Sushi Den",The Ritz-Carlton Denver,"Museums, Parks, Hiking"
Livonia,United States,Relaxed,1500,4.3,7.5,"Hometown Bar-B-Que, The Table",DoubleTree by Hilton Hotel Detroit,"Parks, Lakes, Scenic Drives"
Minneapolis,United States,Adventurous,1900,4.6,8.7,"The Bachelor Farmer, Young Joni",Radisson Blu Minneapolis,"Hiking, Canoeing, Live Music"
Columbus,United States,Cultural,1700,4.4,8.6,"The Pearl, El Camino",The Westin Columbus,"Museums, Historical Sites, Shopping"
Austin,United States,Cultural,2000,4.8,9.5,"Franklin Barbecue, Uchi",The Driskill Hotel,"Live Music, Food Festivals, Outdoor Activities"
Milwaukee,United States,Cultural,1600,4.2,8,"The Milwaukee Public Market, Lakefront Brewery",Potawatomi Hotel & Casino,"Museums, Brewers Stadium, Nightlife"
Monrovia,Liberia,Cultural,1500,4.3,7.9,"Mamba Point Restaurant, The Golden Beach",The Royal Hotel,"Cultural Sites, Beaches, Markets"
Robertsport,Liberia,Relaxed,1000,4.4,7.5,"Robertsport Beach Restaurant, The Surf Shack",The Robertsport Beach Resort,"Beaches, Surfing, Nature"
Kerala,India,Cultural,1700,4.7,8.8,"The French Toast, Sree Gokulam Vanamala",The Leela Kovalam Beach,"Backwaters, Temples, Spice Gardens"
Dubai,United Arab Emirates,Cultural,2500,4.8,9.4,"Al Hadheerah, At.mosphere",Burj Al Arab Jumeirah,"Burj Khalifa, Shopping, Desert Safaris"
Rome,Italy,Cultural,3000,4.9,9.6,"La Pergola, Roscioli",Hotel de Russie,"Colosseum, Vatican City, Trevi Fountain"
Beirut,Lebanon,Cultural,2000,4.5,8.9,"Tawlet, Al Falamanki",Le Gray,"Beaches, Historical Sites, Nightlife"
Paris,France,Relaxed,3500,4.9,9.8,"Le Jules Verne, L'As du Fallafel",Le Meurice,"Eiffel Tower, Museums, Parks"
Madrid,Spain,Cultural,2200,4.7,9.2,"Sobrino de Botín, Mercado de San Miguel",The Westin Palace,"Palace, Museums, Flamenco"
Port-au-Prince,Haiti,Cultural,1200,4.1,7.5,"Le Coin Chéri, La Maison de la Soup",Hotel Karibe,"Museums, Markets, Historical Sites"
Kampot,Cambodia,Relaxed,1100,4.3,8.5,"Rikitikitavi, Kampot's Best Restaurant",The Columns,"River Cruises, Kampot National Park, Pepper Plantations"
Kep,Cambodia,Relaxed,1000,4.4,8.3,"Kep Lodge, Holy Crab Restaurant",Kep Seafront Hotel,"Beaches, Crab Market, Kep National Park"
Phnom Penh,Cambodia,Adventurous,1200,4.5,8.7,"Romdeng, Malis Restaurant",Sunway Hotel Phnom Penh,"Historical Sites, Killing Fields, Museums"
Siem Reap,Cambodia,Adventurous,1500,4.7,9,"The Red Piano, Meric Khmer Cuisine",Shinta Mani Shack,"Angkor Wat, Temples, Floating Villages"
Esteli,Nicaragua,Cultural,900,4.2,7.9,"La Casa de la Mujer, El Bosque",Hotel Los Arcos,"Cultural Tours, Tobacco Farms, Waterfalls"
Granada,Nicaragua,Cultural,1000,4.4,8.1,"Restaurante El Zaguan, Tercer Ojo",Hotel Alhambra,"Colonial Architecture, Lake Cocibolca, Volcano Tours"
Managua,Nicaragua,Cultural,950,4.1,7.8,"La Cocina de Doña Haydee, El Timon",Barceló Managua,"Museums, Lake Xolotlan, Parks"
Vienna,Austria,Cultural,2500,4.8,9.5,"Figlmüller, Steirereck",The Ritz-Carlton,"Opera House, Palaces, Museums"
West Plains,United States,Relaxed,1300,4.2,7.5,"The Shed, West Plains Brewing Co.",Hampton Inn,"Outdoor Activities, Ozark Scenic Views"
Belém,Brazil,Cultural,1200,4.3,8.2,"Doca de Feijão, Estrela do Pará",Hotel Radisson,"Historic Sites, Markets, Museums"
Boston,United States,Cultural,2500,4.6,9,"Neptune Oyster, Union Oyster House",The Langham,"Freedom Trail, Museums, Historical Sites"
Sapporo,Japan,Relaxed,1800,4.3,8.4,"Ramen Santoka, Soup Curry GARAKU",Sapporo Grand Hotel,"Sapporo Snow Festival, Skiing, Hot Springs"
Havana,Cuba,Cultural,1300,4.5,8.9,"La Guarida, El Cocinero",Hotel Nacional de Cuba,"Old Havana, Beaches, Music Venues"
Macau,China,Cultural,2200,4.7,9.2,"Robuchon au Dôme, Fernando's",The Venetian Macao,"Casinos, Ruins of St. Paul's, Macau Tower"
Naples,Italy,Cultural,2100,4.6,9.3,"L'Antica Pizzeria da Michele, Trattoria da Nennella",Grand Hotel Vesuvio,"Pompeii, Amalfi Coast, Historic City Center"
Roses,Spain,Relaxed,1400,4.2,8,"El Canyisset, La Cuina de l'Avia",Hotel Terraza,"Beaches, Botanical Gardens, Windsurfing"
Pioneertown,United States,Adventurous,1800,4.4,8.6,Pappy & Harriet's Pioneertown Palace,Pioneertown Motel,"Old West Set, Hiking, Joshua Tree"
Joshua Tree,United States,Adventurous,1600,4.5,8.8,"Pappy & Harriet's, Crossroads Café",Joshua Tree Inn,"Joshua Tree National Park, Rock Climbing"
Rancho Mirage,United States,Relaxed,1700,4.3,8.2,"The Restaurant at Agua Caliente, Roy's",The Ritz-Carlton,"Golf, Spas, Shopping"
Coachella,United States,Adventurous,2000,4.6,9.1,"La Quinta Brewing Co., The Coop",Holiday Inn Express,"Music Festivals, Desert Views, Hiking"
Chernobyl,Ukraine,Adventurous,2500,4.7,8.9,"Chernobyl Cafe, The Pripyat Hotel",Chernobyl Hostel,"Abandoned Buildings, Nuclear Tour, Historical Sites"
Crimea,Ukraine,Adventurous,2200,4.5,8.8,"Sushi Master, Chekhov Cafe",Hotel Sevastopol,"Black Sea Beaches, Yalta, Historical Sites"
Chester,United States,Relaxed,1500,4.1,7.7,"Scoop's, Outback Steakhouse",Holiday Inn,"Outdoor Activities, Parks, Historic Sites"
Soran,Iraq,Cultural,1800,4.2,8.3,"Soran Restaurant, Kawa Café",Kurdistan Hotel,"Cultural Sites, Mountains, Kurdish History"
Erbil,Iraq,Cultural,1700,4.4,8.6,"Divan Hotel, Haji Huseyin Restaurant",Erbil Rotana Hotel,"Erbil Citadel, Cultural Centers, Museums"
Derik,Turkey,Cultural,1600,4.3,8.5,"Hira Restaurant, Sîrwan Restaurant",Derik Hotel,"Cultural Landmarks, Hiking, Kurdish Culture"
New Orleans,United States,Cultural,2300,4.8,9.4,"Café du Monde, Commander’s Palace",The Roosevelt New Orleans,"French Quarter, Jazz, Historic Sites"
Breaux Bridge,United States,Relaxed,1300,4,7.5,"Cafe Des Amis, Poche's Market",Holiday Inn Express,"Swamp Tours, Cajun Culture, Outdoor Activities"
Metairie,United States,Relaxed,1200,4.2,7.8,"The Bonfire, Acme Oyster House",Holiday Inn,"Parks, Shopping, Family-friendly Activities"
Singapore,Singapore,Cultural,3000,4.9,9.7,"Marina Bay Sands, Maxwell Food Centre",Raffles Hotel,"Gardens by the Bay, Marina Bay Sands, Chinatown"
New York,United States,Adventurous,3500,4.8,9.9,"The Spotted Pig, Momofuku Noodle Bar",The Plaza Hotel,"Times Square, Central Park, Broadway"
Rome,Italy,Relaxed,2000,4.7,9,"Pizzeria Ai Marmi, Da Enzo al 29",Hotel Artemide,"Colosseum, Vatican, Roman Forum"
Miami,United States,Relaxed,2200,4.6,9.2,"Joe's Stone Crab, Versailles",The Setai,"Beaches, Art Deco District, Nightlife"
Hong Kong,China,Cultural,2500,4.8,9.3,"Tim Ho Wan, Joy Hing",The Ritz-Carlton,"Victoria Peak, Markets, Cultural Sites"
Montreal,Canada,Relaxed,1800,4.4,8.6,"Schwartz’s Deli, Toqué!",Fairmont The Queen Elizabeth,"Mount Royal, Museums, Old Montreal"
Amsterdam,Netherlands,Cultural,2300,4.7,9.5,"The Pancake Bakery, De Kas",The Dylan Amsterdam,"Rijksmuseum, Anne Frank House, Canals"
San Francisco,United States,Cultural,2700,4.8,9.6,"Boudin Bakery, Zuni Café",Fairmont,"Golden Gate Bridge, Alcatraz, Museums"
London,United Kingdom,Cultural,2900,4.8,9.7,"The Ledbury, Dishoom",The Ritz London,"Buckingham Palace, The British Museum, West End"
Los Angeles,United States,Cultural,2800,4.7,9.6,"In-N-Out Burger, Bestia",The Beverly Hills Hotel,"Hollywood, Beaches, Museums"
Beira,Mozambique,Cultural,1400,4.1,7.9,"Restaurante Ilha de Moçambique, Dona Ginga",Hotel Tivoli,"Beaches, Markets, Historical Sites"
Maputo,Mozambique,Cultural,1500,4.3,8.2,"Sagres, The Dock",Polana Serena Hotel,"Beaches, Cultural Sites, Markets"
Mozambique Island,Mozambique,Relaxed,1300,4.4,8.5,"Restaurante Marisqueira, Ilha de Moçambique",Hotel Solar de Moçambique,"Beaches, Historical Sites, Diving"
Kansas City,United States,Relaxed,1600,4.2,8.1,"Joe's Kansas City Bar-B-Q, The Capital Grille",21c Museum Hotel,"Music, Museums, Parks"
Motovun,Croatia,Cultural,1400,4.5,8.7,"Konoba Mondo, Most",Villa Borgo,"Medieval Village, Truffle Tours, Wine"
Skradin,Croatia,Relaxed,1200,4.3,8,"Konoba Toni, Skrapa",Hotel Skradin,"Krka National Park, River Cruises"
Zadar,Croatia,Cultural,1500,4.6,8.8,"Pet Bunara, Konoba Skoblar",Falkensteiner Hotel,"Roman Ruins, Sea Organ, Sunsets"
Lisbon,Portugal,Cultural,2200,4.7,9.4,"Time Out Market, Ramiro",Pestana CR7 Lisboa,"Belem Tower, Alfama, Tram 28"
Hakusan City,Japan,Relaxed,1700,4.4,8.2,"Sushi Ya, Ramen Nozomi",Hakusan Hotel,"Skiing, Hot Springs, Mount Hakusan"
Kaga,Japan,Relaxed,1600,4.3,8.3,"Kaga Hyakumangoku, Maru Sushi",Yamanaka Onsen,"Onsen, Kaga Yuzen, Mount Hakusan"
Kanazawa,Japan,Cultural,1900,4.5,8.7,"Fumuroya, Sushi Ippei",Kanazawa Tokyu Hotel,"Kenrokuen, Kanazawa Castle, Geisha District"
Tokyo,Japan,Cultural,2800,4.9,9.8,"Sukiyabashi Jiro, Narisawa",The Peninsula Tokyo,"Shibuya Crossing, Tsukiji Fish Market, Temples"
Helsinki,Finland,Relaxed,1800,4.3,8.1,"Restaurant Olo, Savotta",Hotel Kämp,"Saunas, Suomenlinna, Parks"
Ensenada,Mexico,Relaxed,1300,4.4,8.2,"La Guerrerense, El Rey Sol",Hotel Coral & Marina,"Wineries, Beaches, Outdoor Activities"
Tijuana,Mexico,Cultural,1200,4.2,8,"Caesar's Restaurant, Telefonica Gastropark",Hotel Tijuana,"Cultural Sites, Food Tours, Nightlife"
Penang,Malaysia,Relaxed,1400,4.3,8.6,"Street Food, Kebaya",Eastern & Oriental Hotel,"Beaches, Temples, Food Tours"
Austin,United States,Cultural,2500,4.7,9,"Franklin Barbecue, Uchi",The Driskill,"Live Music, Museums, Barton Springs"
Sydney,Australia,Relaxed,3000,4.8,9.5,"Quay, Tetsuya’s",The Langham,"Sydney Opera House, Beaches, Harbour"
Bologna,Italy,Cultural,2200,4.7,9.2,"Osteria dell'Orsa, Trattoria di Via Serra",Art Hotel Commercianti,"Piazza Maggiore, Medieval Towers, Museums"
Modena,Italy,Cultural,2300,4.6,9.1,"Osteria Francescana, Trattoria Aldina",Hotel Rua Frati Minori,"Modena Cathedral, Ferrari Museum"
Polesine Parmense,Italy,Relaxed,1500,4.3,7.9,"La Trattoria del Gallo, Antica Osteria del Po",Agriturismo Ca’ del Lupo,"Po River, Rural Villages, Parmesan Cheese Tours"
Auxerre,France,Relaxed,1800,4.4,8,"Le Bistrot de la Cité, Le Coq de la Place",Hotel Normandie,"Historical Sites, Abbey of Saint-Germain, Yonne River"
Beaune,France,Relaxed,1900,4.6,8.3,"Le Bistro des Cocottes, La Table de Guigone",Hotel Le Cep,"Wine Tasting, Hospices de Beaune, Vineyards"
Morey-Saint-Denis,France,Relaxed,1700,4.5,8.1,"La Table de Pierre, Le Comte de Morey",Château de Morey,"Vineyards, Wine Cellars, Burgundy Wine"
Noyers,France,Relaxed,1600,4.3,7.8,"Le Comptoir de Noyers, L'Escargot",Auberge de Noyers,"Medieval Village, Wine Tours, Historical Sites"
Nuits-Saint-Georges,France,Relaxed,1700,4.4,8,"Le Clos de la Vigne, La Table des Caves",Hotel Restaurant Le Clos,"Vineyards, Wine Cellars, Village Walks"
Pacy-sur-Armançon,France,Relaxed,1500,4.2,7.7,"Le Saint-Georges, Le Bar du Marché",Hotel de la Gare,"Cultural Landmarks, Hiking, River Walks"
Saint-Père,France,Relaxed,1400,4.1,7.6,"L'Auberge de Saint-Père, Le Moulin",Hotel Saint-Père,"Abbey of Saint-Père, River Views, Rural Exploration"
Vézelay,France,Relaxed,1600,4.5,8.4,"La Terrasse, Le Resto du Terroir",Hotel de la Poste,"Basilica of Sainte-Marie-Madeleine, Medieval Streets"
Yonne,France,Relaxed,1700,4.4,8.2,"Le Bistro de l'Hotel de Ville, L'Escapade",Hotel Le Parc,"Burgundy Vineyards, Historical Sites"
Rio de Janeiro,Brazil,Adventurous,2500,4.7,9.4,"Fogo de Chão, Zuka",Hotel Fasano Rio,"Sugarloaf Mountain, Christ the Redeemer, Beaches"
Playa Rincon,Dominican Republic,Relaxed,1200,4.3,8,"La Cueva de las Golondrinas, Restaurante El Tembleque",Viva Wyndham V Samana,"Beaches, Water Sports, Hiking"
Samaná,Dominican Republic,Relaxed,1300,4.5,8.2,"El Cabrón, La Hacienda",Hotel Samaná,"Beaches, Waterfalls, Whale Watching"
Santo Domingo,Dominican Republic,Cultural,1600,4.6,8.9,"Adrian Tropical, Don Pepe",Hotel Jaragua,"Colonial Zone, Museums, Historical Sites"
Brooklyn,United States,Cultural,2500,4.8,9.5,"Grimaldi's Pizza, Peter Luger Steak House",The William Vale,"Brooklyn Bridge, Coney Island, Museums"
Chicago,United States,Cultural,2700,4.7,9.4,"Lou Malnati's, Alinea",The Langham Chicago,"Millennium Park, Art Institute, Navy Pier"
Paris,France,Relaxed,3000,4.9,9.8,"Le Meurice, Le Jules Verne",The Ritz Paris,"Eiffel Tower, Louvre Museum, Champs-Élysées"
Philadelphia,United States,Cultural,2400,4.5,8.7,"Reading Terminal Market, Zahav",The Rittenhouse,"Liberty Bell, Museums, Independence Hall"
São Paulo,Brazil,Adventurous,2000,4.4,8.2,"D.O.M., Bar da Dona Onça",Hotel Unique,"Museums, Ibirapuera Park, Street Art"
Toronto,Canada,Cultural,2500,4.7,9.3,"Alo Restaurant, Kōjin",The Four Seasons,"CN Tower, Royal Ontario Museum, Distillery District"
Dublin,United Kingdom,Adventurous,2000,4.6,8.9,"The Woollen Mills, Chapter One",The Dean Dublin,"Trinity College, Dublin Castle, St. Stephen's Green"
Atlanta,United States,Cultural,2300,4.5,8.4,"Ponce City Market, The Varsity",The Ritz-Carlton,"Martin Luther King Jr. National Historical Park, Museums"
Taipei,Taiwan,Cultural,1700,4.7,9.1,"Din Tai Fung, Shuanglian Market",W Taipei,"Taipei 101, Night Markets, Temples"
New Orleans,United States,Cultural,2300,4.8,9.4,"Café du Monde, Commander’s Palace",The Roosevelt New Orleans,"French Quarter, Jazz, Historic Sites"
Seattle,United States,Adventurous,2400,4.6,8.9,"The Pink Door, Pike Place Chowder",The Fairmont Olympic,"Space Needle, Pike Place Market, Outdoor Adventures"
Bagan,Myanmar,Adventurous,2200,4.5,8.8,"Oceans Restaurant, Bagan Lodge",Aureum Palace Hotel,"Temples, Hot Air Balloon Rides, Pagodas"
Yangon,Myanmar,Cultural,2000,4.4,8.6,"Shwe Sa Bwe, Le Planteur",Parkroyal Yangon,"Shwedagon Pagoda, Colonial Buildings, Markets"
Koreatown,United States,Cultural,1800,4.2,8.3,"The Line Hotel, Denny’s Korean BBQ",Hotel Wilshire,"Korean Spas, K-Town Nightlife, Korean Cuisine"
Venice,United States,Relaxed,1500,4.3,7.8,"Café Venice, The Anchor",The Venice Beach House,"Beaches, Bike Rentals, Outdoor Activities"
Los Feliz,United States,Relaxed,1700,4.3,8,"The Tasting Kitchen, Little Dom’s",The Hollywood Roosevelt,"Hiking Trails, Griffith Observatory, Scenic Views"
Whittier Boulevard,United States,Cultural,1600,4,7.5,"La Barca, La Vida",Holiday Inn Whittier,"Shopping, Mexican Cuisine, Nightlife"
Bogotá,Colombia,Cultural,1800,4.4,8.7,"Andrés Carne de Res, La Puerta Falsa",Hotel de la Opera,"Gold Museum, Monserrate, Cultural Sites"
Guaviare,Colombia,Adventurous,2000,4.6,8.9,"Guaviare Eco Lodge, El Pescador",Hotel La Serranía,"Jungle Expeditions, Wildlife, Indigenous Culture"
La Guajira,Colombia,Adventurous,2100,4.5,8.8,"Restaurante la Guajira, Rancho El Ojo de Agua",Hotel Los Trupillos,"Desert Landscapes, Traditional Culture, Hiking"
Meta,Colombia,Adventurous,1900,4.3,8.6,"La Finca de Meta, La Casa de los Llanos",Hotel Villavicencio,"Wildlife Tours, Llanos Grasslands"
Valle del Cauca,Colombia,Cultural,1800,4.6,8.8,"La Casona de Cali, La Matica",Hotel Intercontinental Cali,"Cali Zoo, Salsa Clubs, Colonial Architecture"
Montreal,Canada,Adventurous,1900,4.7,8.9,"Schwartz’s Deli, Toqué!",Fairmont The Queen Elizabeth,"Mount Royal, Museums, Old Montreal"
Quebec City,Canada,Cultural,2100,4.8,9.2,"Le Saint-Amour, Aux Anciens Canadiens",Château Frontenac,"Old Quebec, Citadel, Winter Carnival"
Tangier,Morocco,Cultural,1700,4.5,8.3,"Le Saveur du Poisson, Restaurant Tanger",Movenpick Hotel,"Medina, Beaches, Kasbah"
Al Khums,Libya,Cultural,1500,4.3,8,"The Libyan Restaurant, Al Waha",The Hotel Al Khums,"Roman Ruins, Beaches, Mediterranean Views"
Misrata,Libya,Cultural,1600,4.4,8.2,"Aladdin Restaurant, Sultan Palace",Meriem Hotel,"Historical Sites, Traditional Markets"
Murqub,Libya,Relaxed,1400,4.1,7.5,"The Oasis, Al Maktaba",Murqub Resort,"Desert Safari, Stargazing, Relaxation"
Tripoli,Libya,Cultural,1700,4.5,8.5,"Mammut Restaurant, Tripoli International",Corinthia Hotel,"Ancient Ruins, Beaches, Museums"
Chiclayo,Peru,Cultural,1600,4.7,8.8,"El Purgatorio, La Carpa",Hotel Costa del Sol,"Archaeological Sites, Markets, Temples"
Lima,Peru,Cultural,2200,4.8,9,"Central, Astrid y Gastón",The Westin Lima,"Historic Center, Museums, Cuisine"
Goma,Democratic Republic of the Congo,Adventurous,2400,4.6,9.1,"La Pizzaria, Coco Lodge",Lac Kivu Lodge,"Mount Nyiragongo, Volcano Hikes"
Kisangani,Democratic Republic of the Congo,Adventurous,2300,4.5,8.9,"Mambo Café, Café du Lac",Hotel Belle Vue,"Wildlife, Forest Tours, Congo River"
Aida,Palestine,Cultural,1700,4.3,8,"Al-Wahy, Al-Quds",Palestine Hotel,"Cultural Sites, Religious Landmarks"
Bethlehem,Palestine,Cultural,1800,4.6,8.4,"Palestinian Heritage Center, The Walled Off Hotel",Manger Square Hotel,"Nativity Church, Religious Sites"
